Model,Year,Price,Additions,Previous Owners,Offered,Payment Method,Number of Passengers,Car Mileage,Engine Power,Glass,Transmission Type,Car License,Car Origin,Fuel Type,Car Color,Third Party,Comprehensive (Vehicle Body),Total Insurance
فولكسفاجن بولو,2015,58000,"مُكيّف, إغلاق مركزي, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",اولى,للبيع فقط,إمكانية التقسيط,,73000,1200,الكتروني,عادي,فلسطينية,خصوصي,بنزين,فضي,1035,1016,2050
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
فولكسفاجن جولف,2008,62000,"مُكيّف, إغلاق مركزي, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",4,للبيع أو التبديل,إمكانية التقسيط,4+1,211000,1600,الكتروني,عادي,فلسطينية,خصوصي,بنزين,رمادي,1340,1085,2425
فولكسفاجن جيتا,2008,50000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",٣,للبيع أو التبديل,نقدا فقط,4+1,٣٤٥٦٦٧,1900,الكتروني,عادي,فلسطينية,عمومي,ديزل,أبيض,1340,1000,2340
هونداي اكسنت,2016,59500,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",,للبيع فقط,نقدا فقط,4+1,11000,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أبيض,1035,1042,2077
نيسان جوك,2012,68000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",يد 2,للبيع فقط,نقدا فقط,4+1,95,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أسود,1340,1190,2530
سكودا رابيد,2014,67000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",يد اولى,للبيع فقط,نقدا فقط,4+1,161000,1600,الكتروني,عادي,فلسطينية,خصوصي,ديزل,كحلي,1340,1173,2513
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
سيت ابيزا,2013,46000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",١,للبيع أو التبديل,إمكانية التقسيط,4+1,٩٠٠٠٠,1200,الكتروني,عادي,فلسطينية,خصوصي,بنزين,أزرق سماوي,1035,1000,2035
كيا ماجنتيس,2009,45000,"مُكيّف, إغلاق مركزي, مسجل CD, فتحة سقف, جنطات مغنيسيوم",,للبيع أو التبديل,نقدا فقط,4+1,400000,2000,الكتروني,اوتوماتيك,فلسطينية,عمومي,ديزل,أبيض,1340,1000,2340
فورد ترانزيت,2003,52000,,٤,للبيع فقط,إمكانية التقسيط,9+1,٠٠٠٠٠٠,2000,الكتروني,عادي,فلسطينية,عمومي,ديزل,أبيض,1340,1000,2340
كيا مورننغ,2016,50000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",,للبيع فقط,إمكانية التقسيط,4+1,,1000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,فضي,935,1000,1935
سكودا رابيد,2015,80000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",1,للبيع فقط,نقدا فقط,4+1,26000,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أزرق,1340,1401,2740
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
دايو لانوس,1997,23000,"مُكيّف, مسجل CD",4,للبيع فقط,نقدا فقط,4+1,200,1500,الكتروني,عادي,فلسطينية,خصوصي,بنزين,بترولي,517,500,1017
فورد فيستا,2012,37000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",٢,للبيع أو التبديل,إمكانية التقسيط,4+1,200000,1250,الكتروني,عادي,فلسطينية,تأجير,بنزين,أزرق,1035,1000,2035
سيت ابيزا,2014,55000,"مُكيّف, إغلاق مركزي, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد ثانيه,للبيع فقط,نقدا فقط,4+1,70000,1200,الكتروني,عادي,فلسطينية,خصوصي,بنزين,رصاصي,1035,1000,2035
مرسيدس سبرنتر,2008,93200,"مُكيّف, إغلاق مركزي, مسجل CD, فرش جلد, وسادة حماية هوائية",,للبيع فقط,إمكانية التقسيط,6+1,0000000000,2300,الكتروني,عادي,فلسطينية,تجاري,ديزل,أبيض,1690,1632,3321
سكودا فابيا,2016,85000,"مُكيّف, إغلاق مركزي, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",اوله,للبيع فقط,نقدا فقط,4+1,١٨٠٠٠٠,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أبيض,1035,1488,2523
دايو لانوس,2001,24000,"مُكيّف, جهاز إنذار, مسجل CD, وسادة حماية هوائية",٢,للبيع أو التبديل,إمكانية التقسيط,4+1,,1500,يدوي,عادي,فلسطينية,تأجير,ديزل,أبيض,517,500,1017
مرسيدس E270,2002,50000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",4,للبيع فقط,إمكانية التقسيط,4+1,777777,2700,الكتروني,اوتوماتيك,فلسطينية,عمومي,ديزل,أبيض,845,500,1345
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
سوبارو عريض,1986,20000,,,للبيع فقط,نقدا فقط,,,1300,يدوي,عادي,فلسطينية,خصوصي,بنزين,أبيض,517,500,1017
كيا سول,2011,55000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",صفر,للبيع فقط,نقدا فقط,4+1,"83,000",1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,بيج,1340,1000,2340
سكودا اوكتافيا,2015,100000,"مُكيّف, إغلاق مركزي, جنطات مغنيسيوم, وسادة حماية هوائية",يد ثانية,للبيع فقط,نقدا فقط,4+1,52000,1400,الكتروني,نصف اوتوماتيك,فلسطينية,خصوصي,بنزين,رمادي,1035,1751,2785
هونداي سانتافيه,2016,140000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, فرش جلد, وسادة حماية هوائية",0,للبيع فقط,نقدا فقط,6+1,68000,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,رصاصي,1340,2451,3791
سيت ليون,2016,80000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",مش منمرة,للبيع أو التبديل,إمكانية التقسيط,4+1,91 الف كم,1200,الكتروني,عادي,فلسطينية,خصوصي,بنزين,أبيض,1035,1401,2435
فورد فيستا,2015,53000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",,للبيع فقط,إمكانية التقسيط,4+1,50000,1250,الكتروني,عادي,فلسطينية,خصوصي,بنزين,أبيض عاجي,1035,1000,2035
ايسوزو ١٩٩٨,1998,49000,,ثانية,للبيع أو التبديل,نقدا فقط,4+1,٣٦٣٠٠٠,3100,يدوي,عادي,فلسطينية,خصوصي,ديزل,فيراني,845,500,1345
هوندا سيفيك,2000,2000,"مُكيّف, إغلاق مركزي, مسجل CD, وسادة حماية هوائية",٤,للبيع فقط,نقدا فقط,3+1,١٢٠,1600,الكتروني,اوتوماتيك,نمرة صفراء,تجاري,بنزين,بنفسجي,670,500,1170
فولكسفاجن كادي,2013,85000,"مُكيّف, إغلاق مركزي, مسجل CD, وسادة حماية هوائية",يد اولى,للبيع فقط,نقدا فقط,6+1,150000,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أسود ميتالك,1340,1488,2828
فولكسفاجن جولف,2002,50000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, وسادة حماية هوائية",,للبيع فقط,إمكانية التقسيط,4+1,,1600,الكتروني,عادي,فلسطينية,خصوصي,بنزين,كحلي,670,500,1170
بي ام دبليو 316,1989,15000,فتحة سقف,10,للبيع أو التبديل,إمكانية التقسيط,4+1,500000,1600,الكتروني,عادي,فلسطينية,خصوصي,بنزين,أبيض عاجي,670,500,1170
كيا بيكانتو,2015,46000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",1,للبيع أو التبديل,نقدا فقط,4+1,128,1000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,فيراني,935,1000,1935
هونداي ٢٠٠٦,2006,40000,"مُكيّف, جهاز إنذار, مسجل CD, جنطات مغنيسيوم",يدثانية,للبيع فقط,نقدا فقط,4+1,٤٠٠٠٠,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,رمادي,1340,1000,2340
مرسيدس C200,2015,200000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",,للبيع أو التبديل,إمكانية التقسيط,4+1,74500,2000,الكتروني,نصف اوتوماتيك,فلسطينية,خصوصي,بنزين,أبيض عاجي,1340,3501,4840
هونداي توسان,2013,80000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد اولى,للبيع فقط,نقدا فقط,4+1,40000,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,فضي,1340,1401,2740
اوبل اسكونا,1988,14000,"إغلاق مركزي, مسجل CD, جنطات مغنيسيوم",٠٠٠٠٠٠٠٠٠,للبيع أو التبديل,إمكانية التقسيط,4+1,٠٠٠٠٠٠٠٠٠٠٠٠,1600,يدوي,عادي,فلسطينية,خصوصي,بنزين,خمري,670,500,1170
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
كيا ريو,2008,42000,"مُكيّف, إغلاق مركزي, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",2,للبيع فقط,إمكانية التقسيط,4+1,170000,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أبيض,1340,1000,2340
هونداي سوناتا,2016,102000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",استراد شخصي,للبيع أو التبديل,نقدا فقط,4+1,42000 Mil,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,هايبرد,خمري,1340,1786,3125
سيت ابيزا,1988,14000,"إغلاق مركزي, مسجل CD, فتحة سقف, جنطات مغنيسيوم",00000000,للبيع فقط,نقدا فقط,4+1,,1500,يدوي,عادي,فلسطينية,خصوصي,بنزين,أزرق,517,500,1017
هونداي توسان,2011,75000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",,للبيع أو التبديل,نقدا فقط,4+1,000000000,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,فضي,1340,1313,2653
فولكسفاجن جولف,1999,3300,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",3,للبيع فقط,نقدا فقط,,,1600,الكتروني,عادي,نمرة صفراء,خصوصي,بنزين,أسود ميتالك,670,500,1170
دايو سوبر رايسر,1995,20000,مسجل CD,2,للبيع أو التبديل,نقدا فقط,4+1,,1500,الكتروني,عادي,فلسطينية,حكومي,بنزين,أخضر,517,500,1017
سكودا اوكتافيا,2003,37000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, وسادة حماية هوائية",5,للبيع أو التبديل,نقدا فقط,4+1,350,2000,الكتروني,عادي,فلسطينية,عمومي,ديزل,أبيض عاجي,1340,1000,2340
بي ام دبليو 520,2014,165000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",٤,للبيع أو التبديل,إمكانية التقسيط,4+1,١٢٢٠٠٠,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أسود,1340,2888,4228
مرسيدس C200,2009,70000,"مُكيّف, إغلاق مركزي, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد ثالثه,للبيع أو التبديل,نقدا فقط,4+1,123456,2200,الكتروني,اوتوماتيك,فلسطينية,عمومي,ديزل,أبيض,1690,1226,2915
هونداي جيتس,2008,36000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",٣,للبيع فقط,إمكانية التقسيط,4+1,٠٠٠٠٠٠,1500,الكتروني,اوتوماتيك,فلسطينية,تأجير,بنزين,رمادي,1035,1000,2035
كيا اوبتيما,2016,93000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",0,للبيع فقط,نقدا فقط,4+1,,2000,الكتروني,نصف اوتوماتيك,فلسطينية,خصوصي,بنزين,فيراني,1340,1628,2968
سكودا اوكتافيا,2015,88000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",1,للبيع فقط,نقدا فقط,4+1,94000,1600,الكتروني,عادي,فلسطينية,خصوصي,ديزل,فضي,1340,1541,2880
كيا فورتي,2012,40000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",٢,للبيع أو التبديل,نقدا فقط,4+1,٢٥٠,1600,الكتروني,اوتوماتيك,فلسطينية,تأجير,بنزين,أسود,1340,1000,2340
باص فورد,1987,32000,فرش جلد,,للبيع فقط,نقدا فقط,7+1,,2400,يدوي,عادي,فلسطينية,عمومي,ديزل,أبيض,845,500,1345
فولكسفاجن بورا,2001,25000,,,للبيع فقط,إمكانية التقسيط,4+1,,1900,يدوي,عادي,فلسطينية,عمومي,ديزل,فضي,670,500,1170
لاندروفر ديسكفري,1998,40000,"مُكيّف, جنطات مغنيسيوم",,للبيع فقط,إمكانية التقسيط,6+1,,2500,الكتروني,عادي,فلسطينية,حكومي,ديزل,أخضر,845,500,1345
شفروليه كافلير,2000,18000,"مُكيّف, إغلاق مركزي, جهاز إنذار, جنطات مغنيسيوم",,للبيع فقط,نقدا فقط,4+1,,2200,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أزرق,845,500,1345
هونداي اكسنت,2016,71000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",اولى,للبيع فقط,نقدا فقط,4+1,10000,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,فضي,1340,1243,2583
كيا سبورتاج,2012,95000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",ثانيه,للبيع فقط,نقدا فقط,4+1,77000,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أبيض,1340,1663,3003
كيا برايد,2014,62000,"مُكيّف, إغلاق مركزي, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد ثانيه,للبيع فقط,إمكانية التقسيط,4+1,100 الف,1400,الكتروني,عادي,فلسطينية,خصوصي,ديزل,أحمر,1035,1085,2120
ميتسوبيشي لانسر,1997,36000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",3,للبيع أو التبديل,إمكانية التقسيط,4+1,0000000,1600,الكتروني,عادي,فلسطينية,خصوصي,بنزين,أبيض,670,500,1170
سكودا سوبيرب,2012,110000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",,للبيع فقط,نقدا فقط,4+1,150000,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أبيض عاجي,1340,1926,3265
اوبل اسكونا,1982,17000,"مُكيّف, جهاز إنذار, مسجل CD, جنطات مغنيسيوم",,للبيع أو التبديل,نقدا فقط,4+1,,1300,يدوي,عادي,فلسطينية,خصوصي,بنزين,أزرق,517,500,1017
سكودا فابيا,2011,44000,"مُكيّف, إغلاق مركزي, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",2,للبيع أو التبديل,نقدا فقط,4+1,360000,1600,الكتروني,عادي,فلسطينية,عمومي,ديزل,أبيض,1340,1000,2340
شفروليه همر H3,2007,120000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",2,للبيع أو التبديل,نقدا فقط,4+1,170000,3000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,فضي,1690,2100,3790
هونداي توسان,2013,82500,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد أولى,للبيع فقط,نقدا فقط,4+1,51000,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,فضي,1340,1444,2784
فورد فوكس,2012,58000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, وسادة حماية هوائية",,للبيع فقط,نقدا فقط,4+1,51000,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,رمادي,1340,1016,2355
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
شفروليه كابتيفا,2009,80000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد اولى,للبيع فقط,نقدا فقط,6+1,80000,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أسود,1340,1401,2740
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
أفيكو 2007,2007,50000,"مُكيّف, مسجل CD",1,للبيع فقط,إمكانية التقسيط,2+1,280000,3000,الكتروني,عادي,فلسطينية,تجاري,ديزل,أبيض عاجي,1690,1000,2690
اودي A6,1997,21000,"مُكيّف, إغلاق مركزي, مسجل CD, فتحة سقف, جنطات مغنيسيوم, وسادة حماية هوائية",يد خامسة,للبيع فقط,إمكانية التقسيط,,,1800,الكتروني,اوتوماتيك,فلسطينية,حكومي,بنزين,أبيض عاجي,670,500,1170
هونداي i25,2013,60000,"مُكيّف, إغلاق مركزي, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد اولى,للبيع فقط,نقدا فقط,4+1,100000,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,فضي,1035,1050,2085
اوبل كورسا,2013,52000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",,للبيع أو التبديل,إمكانية التقسيط,4+1,87000,1400,الكتروني,عادي,فلسطينية,خصوصي,بنزين,أحمر,1035,1000,2035
هونداي اكسنت,2013,58000,"مُكيّف, إغلاق مركزي, جهاز إنذار, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد اولى,للبيع أو التبديل,نقدا فقط,4+1,42000,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,فضي,1035,1016,2050
فولكسفاجن كبينة,1983,30000,,,للبيع فقط,نقدا فقط,6+1,,1900,يدوي,عادي,فلسطينية,خصوصي,ديزل,سكني,670,500,1170
بي ام دبليو 735i,2002,70000,"مُكيّف, إغلاق مركزي, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",,للبيع أو التبديل,إمكانية التقسيط,4+1,,3600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,كحلي,845,613,1457
هونداي i30,2011,56500,"مُكيّف, إغلاق مركزي, مسجل CD, فتحة سقف, جنطات مغنيسيوم, وسادة حماية هوائية",مستورده يد اولى,للبيع فقط,نقدا فقط,4+1,90000,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أسود,1340,1000,2340
ميتسوبيشي اوت لاندر,2005,55000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد ثانيه,للتبديل فقط,نقدا فقط,4+1,,2300,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أبيض عاجي,1690,1000,2690
اوبل كورسا,2016,67000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",صفر,للبيع فقط,نقدا فقط,4+1,24000,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,عدة الوان,1035,1173,2208
شفروليه افيو,2009,27000,"مسجل CD, وسادة حماية هوائية",,للبيع أو التبديل,نقدا فقط,4+1,110000,1400,الكتروني,اوتوماتيك,فلسطينية,تأجير,بنزين,أزرق,1035,1000,2035
هونداي اكسنت,2013,59000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فرش جلد",١,للبيع فقط,إمكانية التقسيط,4+1,95  الف,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,فضي,1340,1033,2373
فولكسفاجن جولف,2015,115000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, وسادة حماية هوائية",3,للبيع أو التبديل,نقدا فقط,4+1,42000,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,فضي,1035,2013,3048
ميتسوبيشي L200,2012,155000,جنطات مغنيسيوم,صفر,للبيع فقط,إمكانية التقسيط,4+1,130 الف,2400,يدوي,عادي,فلسطينية,خصوصي,ديزل,أبيض,1690,2713,4403
فولكسفاجن باسات,2002,33500,"مُكيّف, إغلاق مركزي, مسجل CD, وسادة حماية هوائية",,للبيع فقط,نقدا فقط,4+1,170000,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,كحلي,670,500,1170
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
فولكسفاجن بورا,2000,38000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد اولى,للبيع فقط,نقدا فقط,4+1,٧٠٠٠٠,1600,الكتروني,عادي,فلسطينية,خصوصي,بنزين,أبيض عاجي,670,500,1170
شفروليه كافلير,1995,18000,,,للبيع فقط,نقدا فقط,4+1,,2200,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أزرق,845,500,1345
هونداي i20,2011,30000,,٠٠٠٠٠٠,للبيع فقط,نقدا فقط,4+1,٠٠٠٠٠٠٠,1400,الكتروني,عادي,فلسطينية,تأجير,بنزين,أسود,1035,1000,2035
هونداي 2006,2006,34000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, وسادة حماية هوائية",3,للبيع أو التبديل,إمكانية التقسيط,,,1400,الكتروني,عادي,فلسطينية,خصوصي,بنزين,أبيض,1035,1000,2035
سكودا اوكتافيا,2017,108000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",صفر,للبيع فقط,نقدا فقط,4+1,"70,000",2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أسود ميتالك,1340,1891,3230
بي ام دبليو 1988,1988,50000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",٣,للبيع أو التبديل,إمكانية التقسيط,3+1,1000,2500,الكتروني,عادي,فلسطينية,خصوصي,بنزين,أحمر,845,500,1345
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
دايو لانوس,1999,23000,"إغلاق مركزي, جهاز إنذار, وسادة حماية هوائية",3,للبيع فقط,إمكانية التقسيط,4+1,,1400,يدوي,عادي,فلسطينية,خصوصي,بنزين,أبيض,517,500,1017
فيات بونتو,2010,37000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",ثالثة,للبيع فقط,نقدا فقط,,,1250,الكتروني,عادي,فلسطينية,خصوصي,بنزين,فيراني,1035,1000,2035
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
هونداي فيرنا,2006,43000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",2,للبيع فقط,نقدا فقط,4+1,140000,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,فضي,1340,1000,2340
مرسيدس E250,1991,20000,"مسجل CD, جنطات مغنيسيوم, فرش جلد",6,للبيع أو التبديل,نقدا فقط,7+1,,2500,الكتروني,عادي,فلسطينية,عمومي,ديزل,أبيض,845,500,1345
اوبل استرا,2005,41000,"مُكيّف, إغلاق مركزي, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",٥,للبيع أو التبديل,إمكانية التقسيط,,١٦٠,1600,الكتروني,عادي,فلسطينية,خصوصي,بنزين,أزرق سماوي,1340,1000,2340
كيا سبورتاج,2011,80000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, وسادة حماية هوائية",2,للبيع فقط,نقدا فقط,4+1,1230000,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,فضي,1340,1401,2740
ميتسوبيشي L200,2018,230000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",0,للبيع أو التبديل,إمكانية التقسيط,4+1,47000,2400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أسود ميتالك,1690,4026,5715
سكودا رابيد,2014,70000,"مُكيّف, إغلاق مركزي, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",يد اولى,للبيع فقط,إمكانية التقسيط,4+1,٦٠٠٠٠,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أبيض,1340,1226,2565
فولكسفاجن GTI,2010,83999,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",4,للبيع أو التبديل,نقدا فقط,4+1,134000,2000,الكتروني,عادي,فلسطينية,خصوصي,بنزين,أسود,1340,1470,2810
فولكسفاجن بولو,2008,36000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, وسادة حماية هوائية",يد ثانية,للبيع فقط,نقدا فقط,4+1,"148,000",1400,الكتروني,عادي,فلسطينية,خصوصي,بنزين,فضي,1035,1000,2035
فولكسفاجن بولو,2012,58000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم",2,للبيع أو التبديل,نقدا فقط,4+1,91000,1400,الكتروني,عادي,فلسطينية,خصوصي,بنزين,رمادي,1035,1016,2050
جييب شيروكي,2016,360000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",صفر,للبيع أو التبديل,إمكانية التقسيط,4+1,41000,3000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أسود ميتالك,1690,6301,7991
